trip_status,ride_hailing_app,trip_time,total_time,wait_time,trip_type,surge_multiplier,vehicle_make,driver_gender,trip_map_image_url,price_usd,distance_kms,temperature_value,humidity,wind_speed,cloudness,weather_main,weather_desc,precipitation
Completed,Uber,0:21:33,29,7,uberX,1.0,Ford,1,Saint Petersburg,5.17,9.29,12,0.69,4.81,0.78,partly-cloudy-day,Mostly Cloudy,none
Completed,Uber,0:19:27,26,6,uberX,1.0,Hyundai,1,Saint Petersburg,4.97,9.93,10,0.7,6.53,0.66,partly-cloudy-day,Mostly Cloudy,none
Completed,Uber,1:06:53,83,16,uberX,1.0,Renault,1,Saint Petersburg,13.01,18.01,14,0.61,5.25,0.86,partly-cloudy-day,Mostly Cloudy,none
Completed,Uber,0:13:37,20,6,uberBLACK,2.9,Mercedes-Benz,1,Saint Petersburg,25.99,5.1,3,0.84,0.87,0.56,partly-cloudy-night,Partly Cloudy,none
Completed,Uber,0:38:54,49,10,uberX,1.4,Hyundai,1,Saint Petersburg,13.43,21.92,3,0.9,1.61,0.31,partly-cloudy-night,Partly Cloudy,none
Completed,Uber,0:16:38,34,17,uberX,1.0,Hyundai,1,Saint Petersburg,4.06,4.88,7,0.83,2.73,0.99,cloudy,Overcast,none
Completed,Uber,0:40:24,44,3,uberX,1.0,Volkswagen,1,Saint Petersburg,9.4,18.65,6,0.89,4.08,0.98,cloudy,Overcast,none
Completed,Uber,0:41:56,58,16,uberX,1.0,Hyundai,1,Saint Petersburg,8.7,12.62,6,0.96,3.96,0.89,partly-cloudy-day,Mostly Cloudy,none
Completed,Uber,0:10:06,15,4,uberX,1.0,Hyundai,1,Saint Petersburg,3.27,5.94,8,0.88,4.64,0.84,partly-cloudy-day,Mostly Cloudy,none
Completed,Uber,0:25:30,33,7,uberX,1.0,Volkswagen,1,Saint Petersburg,7.06,17.38,9,0.82,0.86,0.69,partly-cloudy-day,Mostly Cloudy,none
Completed,Uber,0:17:47,26,8,uberX,1.0,Hyundai,1,Saint Petersburg,4.27,5.66,14,0.67,4.15,0.75,partly-cloudy-day,Mostly Cloudy,none
Completed,Uber,0:14:28,27,12,uberX,1.0,Hyundai,0,Ekaterinburg,7.66,14.3,32,0.33,3.18,0,clear-day,Clear,rain
Completed,Uber,0:15:19,28,12,uberX,1.0,Ford,1,Ekaterinburg,7.48,13.33,19,0.82,1.24,0.75,partly-cloudy-night,Mostly Cloudy,rain
Completed,Uber,0:50:13,64,13,uberX,1.0,Ford,1,Ekaterinburg,4.2,9.41,29,0.63,5.11,0.75,partly-cloudy-day,Mostly Cloudy,rain
Completed,Uber,0:12:39,37,24,uberX,1.0,Hyundai,1,Ekaterinburg,1.62,0.29,28,0.61,4.9,0,clear-day,Clear,rain
Completed,Uber,0:16:18,34,17,uberX,1.0,Kia,1,Ekaterinburg,2.21,8.4,17,1.0,0.9,0,clear-night,Clear,rain
Completed,Uber,0:11:27,25,13,uberX,1.0,Nissan,1,Ekaterinburg,1.72,4.33,25,0.63,1.23,0,clear-day,Clear,rain
Completed,Uber,0:16:39,30,13,uberX,1.0,Kia,0,Ekaterinburg,2.03,4.75,21,0.64,2.77,1,cloudy,Overcast,rain
Completed,Uber,0:16:28,27,10,uberX,1.0,Hyundai,1,Ekaterinburg,7.11,14.61,11,0.97,5.32,1,cloudy,Overcast,rain
Completed,Uber,0:14:13,17,2,uberX,1.0,Hyundai,1,Saint Petersburg,3.33,5.05,19,0.62,3.9,0.39,partly-cloudy-day,Partly Cloudy,none
Completed,Gett,0:21:12,36,14,Comfort,,Chevrolet,1,Saint Petersburg,5.65,12.81,19,0.62,3.51,0.49,partly-cloudy-day,Partly Cloudy,none
Cancelled,Uber,0:01:00,46,45,uberBLACK,1.0,Mercedes-Benz,1,Saint Petersburg,3.26,0.1,17,0.69,0.88,0.32,partly-cloudy-day,Partly Cloudy,none
Completed,Uber,0:45:40,54,8,uberX,1.0,Kia,1,Saint Petersburg,10.39,29.08,20,0.59,1.19,0.58,partly-cloudy-day,Partly Cloudy,none
Completed,Uber,0:30:44,40,9,uberX,1.0,Mitsubishi,1,Saint Petersburg,18.13,24.0,21,0.58,1.11,0.75,partly-cloudy-day,Mostly Cloudy,none
Completed,Uber,0:25:18,30,4,uberX,1.0,Nissan,1,Saint Petersburg,18.13,19.1,16,0.73,3.01,0.75,partly-cloudy-day,Mostly Cloudy,none
Completed,Uber,0:30:18,37,6,uberX,1.0,Honda,1,Saint Petersburg,18.13,21.18,16,0.78,1.41,0.94,cloudy,Overcast,none
Completed,Uber,0:09:33,19,9,uberBLACK,1.0,Mercedes-Benz,1,Saint Petersburg,6.4,2.27,16,0.77,2.79,0.75,partly-cloudy-day,Mostly Cloudy,none
Completed,Uber,0:22:31,29,6,uberBLACK,1.0,Audi,1,Saint Petersburg,11.22,8.85,15,0.83,1.73,0.78,partly-cloudy-night,Mostly Cloudy,none
Completed,Uber,0:45:00,57,12,uberX,1.0,Mitsubishi,1,Saint Petersburg,8.9,17.79,15,0.74,4.12,0.75,partly-cloudy-day,Mostly Cloudy,none
Completed,Uber,1:08:04,88,19,uberX,1.5,Kia,1,Saint Petersburg,27.29,21.22,16,0.66,5.75,0.62,partly-cloudy-day,Mostly Cloudy,none
Completed,Uber,0:12:28,27,14,uberBLACK,1.0,BMW,1,Saint Petersburg,7.6,4.35,18,0.61,4.98,0.76,partly-cloudy-day,Mostly Cloudy,none
Completed,Uber,0:10:35,20,9,uberBLACK,1.5,Mercedes-Benz,1,Saint Petersburg,10.31,3.25,16,0.73,5.12,0.76,partly-cloudy-day,Mostly Cloudy,none
Completed,Uber,0:05:46,14,8,uberX,1.0,Nissan,1,Saint Petersburg,1.8,1.29,15,0.78,5.75,0.75,partly-cloudy-day,Mostly Cloudy,none
Completed,Uber,0:16:31,27,10,uberBLACK,1.0,BMW,1,Saint Petersburg,8.5,2.61,15,0.81,6.75,0.75,partly-cloudy-day,Mostly Cloudy,none
Completed,Uber,0:08:51,22,13,uberX,1.4,Hyundai,1,Saint Petersburg,3.15,1.69,13,0.64,8.04,0.62,wind,Breezy and Mostly Cloudy,none
Completed,Uber,0:12:06,20,7,uberBLACK,1.0,Mercedes-Benz,1,Saint Petersburg,7.6,5.02,10,0.7,4.6,0,clear-night,Clear,none
Completed,Uber,0:17:31,33,15,uberX,1.0,Nissan,1,Saint Petersburg,3.65,3.35,15,0.48,8.2,0.75,wind,Breezy and Mostly Cloudy,none
Completed,Uber,0:09:43,11,1,uberX,1.0,Toyota,1,Saint Petersburg,2.59,3.07,14,0.48,8.41,0.75,wind,Breezy and Mostly Cloudy,none
Completed,Uber,0:18:24,33,14,uberBLACK,1.0,Mercedes-Benz,1,Saint Petersburg,9.73,5.46,14,0.5,5.98,0.75,partly-cloudy-day,Mostly Cloudy,none
Completed,Uber,0:07:30,21,13,uberBLACK,1.0,BMW,0,Saint Petersburg,6.03,2.72,11,0.57,4.66,0.58,partly-cloudy-day,Partly Cloudy,none
Completed,Uber,0:10:20,22,11,uberX,1.0,Opel,0,Saint Petersburg,2.74,3.6,8,0.78,3.4,0.61,partly-cloudy-day,Mostly Cloudy,none
Completed,Uber,0:31:09,38,6,uberX,1.0,Ford,1,Saint Petersburg,18.64,19.07,11,0.68,4.26,0,clear-day,Clear,none
Completed,Uber,0:28:17,30,1,uberX,1.0,Kia,1,Saint Petersburg,5.11,3.78,15,0.46,5.69,0.47,partly-cloudy-day,Partly Cloudy,none
Completed,Uber,0:29:50,45,15,uberX,1.0,Audi,1,Saint Petersburg,5.44,4.78,15,0.46,6.24,0.47,partly-cloudy-day,Partly Cloudy,none
Completed,Uber,0:11:39,27,15,uberX,1.0,Citroen,1,Saint Petersburg,2.81,2.78,15,0.41,8.13,0.31,wind,Breezy and Partly Cloudy,none
Completed,Uber,0:48:13,57,8,uberBLACK,1.0,Mercedes-Benz,1,Saint Petersburg,33.55,19.14,15,0.41,5.95,0.46,partly-cloudy-day,Partly Cloudy,none
Completed,Uber,0:31:20,46,14,uberBLACK,1.0,Mercedes-Benz,1,Saint Petersburg,32.31,23.26,22,0.46,3.28,0.31,partly-cloudy-day,Partly Cloudy,none
Completed,Uber,1:02:01,77,14,uberX,1.0,Chevrolet,1,Saint Petersburg,10.46,15.63,14,0.91,4.7,0.79,partly-cloudy-day,Mostly Cloudy,none
